id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1371433748105936898,1371433748105936898,"2021-03-15 13:11:00 Paris, Madrid",2021-03-15,13:11:00,+0100,393261047,babycentreuk,BabyCentre UK,,"Every woman's experience of #labour and #birth is different. Nobody can predict what your labour will be like, or how long it will last. #pregnant #pregnant   https://t.co/MNPauXP9r9",en,[],['https://www.babycentre.co.uk/a177/the-stages-of-childbirth'],[],0,0,0,"['labour', 'birth', 'pregnant', 'pregnant']",[],https://twitter.com/babycentreuk/status/1371433748105936898,False,,0,,,,,,,,[],,,,
1371431063956770821,1371431063956770821,"2021-03-15 13:00:20 Paris, Madrid",2021-03-15,13:00:20,+0100,4795544535,spitupandsitups,Ashley,,C-Section Recovery Must Haves #csection #birth #momlife   https://t.co/1ateiE4xBS  https://t.co/aFjsaxPk6S,en,[],['https://spitupandsitups.com/c-section-recovery-must-haves/'],['https://pbs.twimg.com/media/EwhNSGeU8AYv_u3.jpg'],0,0,0,"['csection', 'birth', 'momlife']",[],https://twitter.com/SpitUpandSitUps/status/1371431063956770821,False,,1,https://pbs.twimg.com/media/EwhNSGeU8AYv_u3.jpg,,,,,,,[],,,,
1371423736558018564,1371423736558018564,"2021-03-15 12:31:13 Paris, Madrid",2021-03-15,12:31:13,+0100,1363403506590179329,mafu_x10000,まふりずむ,,早めのお誕生日プレゼントで幼なじみ🚹からいただきました° ✧ (*´ `*) ✧ °ゆったり浸かろう─=≡Σ((( つ╹ω╹)つ♡  #BIRTH #birthday  https://t.co/r76yX8X5cy,ja,[],[],['https://pbs.twimg.com/media/EwhGnhfVgAArnuZ.jpg'],0,0,1,"['birth', 'birthday']",[],https://twitter.com/mafu_x10000/status/1371423736558018564,False,,1,https://pbs.twimg.com/media/EwhGnhfVgAArnuZ.jpg,,,,,,,[],,,,
1371422008169406465,1371422008169406465,"2021-03-15 12:24:21 Paris, Madrid",2021-03-15,12:24:21,+0100,1213107997292953607,theobspod,Florence,,This week it’s part one of fetal heart monitoring - sadly I don’t own a pinard stethoscope but by coincidence  it does look exactly like this pretty gin measure ! ❤️👶🍋  https://t.co/jhXF7lDrFQ #MatExp #TheObsPod #maternity #birth  https://t.co/xl7YCbS7An,en,[],['https://www.buzzsprout.com/961453/8076616'],['https://pbs.twimg.com/media/EwhFC-yXIAYtzmz.jpg'],0,1,8,"['matexp', 'theobspod', 'maternity', 'birth']",[],https://twitter.com/TheObsPod/status/1371422008169406465,False,,1,https://pbs.twimg.com/media/EwhFC-yXIAYtzmz.jpg,,,,,,,[],,,,
1371421292478427140,1371421292478427140,"2021-03-15 12:21:30 Paris, Madrid",2021-03-15,12:21:30,+0100,1326907238548692993,creativ76391546,Creative fashion 24,,Soon To Be Dad Pregnancy Gifts T-Shirt - Visit Our Store Here &gt;&gt;&gt;  https://t.co/bQvVo0cI30 - #pregnancyjourney #pregnancyphotoshoot #birth #monthspregnant #schwangerschaft #preggobelly #pregnantmom #mama #ssw #babylove #world #belly #pregnantmama #pregnancyphoto #babyonboard  https://t.co/J1cI9CohKp,en,[],['https://rb.gy/whvlfw'],['https://pbs.twimg.com/media/EwhELjWU8AA2Ahd.png'],0,0,0,"['pregnancyjourney', 'pregnancyphotoshoot', 'birth', 'monthspregnant', 'schwangerschaft', 'preggobelly', 'pregnantmom', 'mama', 'ssw', 'babylove', 'world', 'belly', 'pregnantmama', 'pregnancyphoto', 'babyonboard']",[],https://twitter.com/Creativ76391546/status/1371421292478427140,False,,1,https://pbs.twimg.com/media/EwhELjWU8AA2Ahd.png,,,,,,,[],,,,
1371410709095968768,1371410709095968768,"2021-03-15 11:39:27 Paris, Madrid",2021-03-15,11:39:27,+0100,2237531113,prophecy_lmr,A Natural Disaster,,It is said that our universe was created by the Big Bang about 13.7 billion years ago. Aum was not born at that time. There had existed other universe in which Aum had resided before the Big Bang made this universe. #universe #BigBang #birth  https://t.co/LJiWDK9fAB,en,[],['http://earthquake.lmr.cc/eng/'],[],0,0,0,"['universe', 'bigbang', 'birth']",[],https://twitter.com/prophecy_lmr/status/1371410709095968768,False,,0,,,,,,,,[],,,,
1371401982146191368,1371401982146191368,"2021-03-15 11:04:46 Paris, Madrid",2021-03-15,11:04:46,+0100,1161712455929815041,mantenatal_,MANtenatal,,Start your week Signing up for our MANtenatal online course. It is all you need to get ready for #fatherhood 😎    https://t.co/mKgOfRLHBw . . #mantenatal #mantenatalonlinecourse #nhs #midwife #midwiferystudent #antenatalcourse #antenatal #pregnancy #birth #pregnant #hypnobirthing  https://t.co/7oFScY5l0B,en,[],['http://mantenatal.co.uk'],['https://pbs.twimg.com/media/Ewgy1dVXIAA0Tva.jpg'],0,0,0,"['fatherhood', 'mantenatal', 'mantenatalonlinecourse', 'nhs', 'midwife', 'midwiferystudent', 'antenatalcourse', 'antenatal', 'pregnancy', 'birth', 'pregnant', 'hypnobirthing']",[],https://twitter.com/MANtenatal_/status/1371401982146191368,False,,1,https://pbs.twimg.com/media/Ewgy1dVXIAA0Tva.jpg,,,,,,,[],,,,
1371401111551287299,1371401111551287299,"2021-03-15 11:01:19 Paris, Madrid",2021-03-15,11:01:19,+0100,878785026,efcniwecare,EFCNI,,"In the #ESCNH calendar, March is #birth &amp; transfer month. We need to collaborate with parents in ante- &amp; perinatal #care to achieve the best outcomes for parents &amp; #baby. Read the standard here:  https://t.co/0YVRfpjdLM  #BetterStandardsBetterOutcomes #Act4Babies #11Months11Topics  https://t.co/tspi3buokn",en,[],['https://bit.ly/3t646Zt'],['https://pbs.twimg.com/media/EwgyChLXEAEpLns.jpg'],0,1,1,"['escnh', 'birth', 'care', 'baby', 'betterstandardsbetteroutcomes', 'act4babies', '11months11topics']",[],https://twitter.com/EFCNIwecare/status/1371401111551287299,False,,1,https://pbs.twimg.com/media/EwgyChLXEAEpLns.jpg,,,,,,,[],,,,
1371384423166398464,1371384423166398464,"2021-03-15 09:55:00 Paris, Madrid",2021-03-15,09:55:00,+0100,53003701,sillymickel,Mickel Adzema,,"WDC 12/1  Chapter 12.  “Prenatal Imprints of Our Unnatural Self:  “Four Earliest Roots of War, Bigotry, Capitalism, &amp; Pollution”  —from*Wounded Deer &amp; Centaurs: The Necessary Hero &amp; the Prenatal Matrix of Human Events* by Michael Adzema   https://t.co/YVxhFUlmkD #psychology #birth",en,[],['https://sillymickel.blogspot.com/2019/08/1st-half-wdc-parts-one-to-three_86.html'],[],0,0,0,"['psychology', 'birth']",[],https://twitter.com/sillymickel/status/1371384423166398464,False,,0,,,,,,,,[],,,,
1371369189773078530,1371369189773078530,"2021-03-15 08:54:28 Paris, Madrid",2021-03-15,08:54:28,+0100,4840028633,birthhills,Surrey Hills Home Birth Team,,"The most perfect Mother's Day gift🌟Yesterday morning, this Incredible mama was supported by her named midwife to #birth her little girl in the comfort of her own #home.  Sunday's don't get much better than that! #HomeBirthJustHappened #waterbirth #namedmidwife  #caseloading  https://t.co/SOXCKSuaUk",en,[],[],['https://pbs.twimg.com/media/EwgVAaDXIAI1xQm.jpg'],0,0,2,"['birth', 'home', 'homebirthjusthappened', 'waterbirth', 'namedmidwife', 'caseloading']",[],https://twitter.com/BirthHills/status/1371369189773078530,False,,1,https://pbs.twimg.com/media/EwgVAaDXIAI1xQm.jpg,,,,,,,[],,,,
